ref,value,footprint,Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8
R16,200,SM0805,0.029,Digikey,RMCF0805JT200RCT-ND,,,,,
R17,30,SM0805,0.021,Digikey,RMCF0805JT4K70CT-ND,,,,,
R18,100,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R19,4.7k,SM0805,0.021,Digikey,RMCF0805JT4K70CT-ND,,,,,
R20,4.7k,SM0805,0.021,Digikey,RMCF0805JT4K70CT-ND,,,,,
R21,100,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R22,1k,SM0805,0.029,Digikey,RMCF0805JT200RCT-ND,,,,,
R23,30,SM0805,0.021,Digikey,RMCF0805JT4K70CT-ND,,,,,
R24,4.7k,SM0805,0.021,Digikey,RMCF0805JT4K70CT-ND,,,,,
R25,100,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R26,100,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R27,100,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R28,100,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R29,100,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R30,100,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R31,1k,SM0805,0.029,Digikey,RMCF0805JT200RCT-ND,,,,,
R32,1k,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R33,1k,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R34,200,SM0805,0.021,Digikey,RMCF0805JT100RCT-ND,,,,,
R35,200,SM0805,0.021,Digikey,RMCF0805JT51R0CT-ND,,,,,
R36,100k,~,,,,,,,,
SW1,SW_PUSH_4,,,,,,,,,
U1,NCP59151DS50R4G,,,,,,,,,
U2,AP7363-33,TO-252-3,0.61,Digikey,AP7363-33D-13CT-ND,,,,,
U3,SN65HVD232,,,,,,,,,
U4,RGB_LED,Cree-RGB-LED,0.65,Digikey,CLVBA-FKA-CC1F1L1BB7R3R3CT-ND,,,,,
U5,SN65HVD232,,,,,,,,,
U6,DSPIC33ExxxMC50x-64TQFP,dp_devices-TQFP-64-10X10,5.21,Digikey,DSPIC33EP128GP506-I/PT-ND,,,,,
U7,AD7193,dp_devices-TSSOP-28,10.85,Digikey,AD7193BRUZ-ND,,,,,
U8,AS1359-3,dp_devices-SOT-23-5,1.75,Digikey,AS1359-BTTT-30CT-ND,,,,,
U9,SI1970DH,sot323-6,,,,,,,,
U20,MAG3110,VFDN-10,1.37,Digikey,MAG3110FCR1CT-ND,,,,,
U22,MPU-6000,QFN-24,10.72,Digikey,1428-1005-1-ND,,,,,
U23,SI1970DH,TSSOP-6,0.53,Digikey,SI1970DH-T1-E3CT-ND,,,,,
